reclat,reclong,mass
9.5,35.33333,8
56.5,21.5,2
47.525,10.80833,2
40,-81.76667,6
15.36667,35.68333,8
29.94718,-90.10976,6
-7.45,111.41667,8
13.85,-4.38333,2
49.03333,-1.43333,2
52.45,78.63333,8
56.11667,37.33333,8
29.86667,121.48333,8
32.925,105.90667,8
34.2,131.56667,8
-28.56667,30.7,7
44.08333,-69.48333,6
40.08528,-86.055,6
33.725,130.75,8
-32.36667,-59.83333,4
36.21667,-92.26667,6
39.68333,-99.86667,6
45.29167,11.52722,2
54.81667,46,8
58.55,31.33333,8
56,22,2
42.91667,102.46667,8
24.3,-102.13333,6
41.63333,0.75,2
43.33333,141.86667,8
21.20833,94.91667,8
47.55,22.025,2
57.78333,55.26667,8
52.28333,8.05,2
58.5,23,8
47.88333,22.03333,2
33.28333,130.2,8
46.06667,23.58333,2
6.75,8.5,2
38.18333,-5.4,2
36.18333,139.21667,8
35.08333,135.2,8
50.83333,25.5,8
52.95,8.16667,2
39,-0.03333,2
38.71667,-7.06667,2
39.56667,-2.1,2
64.02,161.80833,8
43.88333,1.38333,2
28.5475,-81.36222,6
47.11667,6.15,2
48.5,8,2
42.13333,12.93333,2
58.88333,9.4,2
38.4,140.35,8
38.6,-95.21667,6
12.9,0.08,2
30.18,-6.57717,2
24.3,-13.1,2
37.60833,-8.28,2
-18,16,2
43.4,-5.86667,2
51.33333,28.83333,8
21.05,-99.3,6
55.66667,25,8
17.74333,120.45583,8
32.31667,-89.71667,6
-23.11667,-65.1,4
43.48333,118.61667,8
39.8,-91.5,6
21.3,-157.78333,6
15.08333,120.7,8
8.06667,124.28333,8
36.06667,-90.5,6
-6.23333,-40.7,2
-19.13333,-51.66667,4
41.48472,-87.67917,6
9.23333,78.35,8
26.2,85.4,8
36.21667,-103.4,6
20.93694,82.05,8
-19.53333,-48.56667,2
38.13333,14.96667,2
23.15,91.18333,8
43.46667,25.51667,8
52.3,77.03333,8
48.53333,35.98333,8
52.03333,43,8
11.33367,-3.54217,2
56.13333,-117.93333,6
51.66667,9.25,2
41.28333,-73.91667,6
30.125,-103.11667,6
-10.66667,35.5,2
23.325,91,8
56.4,-3.43333,2
56.63333,39.43333,8
55.5,66.08333,8
14.052,0.42,2
35.3,-86.63333,6
53.53333,-7.33333,2
40,-99.25,6
11.25,108.58333,8
12,105.48333,8
15.71667,108.1,8
44.24417,11.50222,2
41.36667,-6.23333,2
58.66667,25.73333,8
26.03472,73.94167,8
-32.86667,18.71667,7
25.8,88.45,8
29.58333,76,8
31.95,-83.51667,6
30.7,-96.11667,6
45.275,26.70972,8
50.53333,14.11667,2
11.58333,104.91667,8
50.93333,12.13333,2
26.71667,82.66667,8
66.34833,14.015,2
53.03639,-4.31944,2
34.175,-103.295,6
38.5,-8,2
31.41667,118.5,8
48.3025,13.94083,2
49.66667,14.03333,2
39.11667,-83.85,6
39.35,-3.51667,2
23.36667,75.18333,8
52.76667,21.26667,2
13.33333,78.95,8
-29.03333,-53.05,4
32.08333,121.5,8
26.53333,106.46667,8
-30.11667,28.7,7
17.76667,95.18333,8
39,-0.66667,2
44.61667,126.13333,8
46.6,0.25,2
-26.66667,-65.45,4
27.72528,76.465,8
28.225,70.2,8
52.98333,37.03333,8
26.45,82.9,8
24.16667,87.76667,8
51.88333,6.93333,2
23.98333,87.08333,8
19.86667,-100.81667,6
25.38333,72.01667,8
38.2,115.7,8
26.66667,50.15,8
43.5,26.53333,8
52.2,17.98333,2
38.13742,-119.75812,6
42.475,-5.33333,2
-6.73333,111.36667,8
44.76667,11.28333,2
-32.75,-65.28333,4
38.66667,116.13333,8
48.6,45.66667,8
51.33333,-118.95,6
28.2,76.66667,8
35.03333,-83.03333,6
46.88333,-102.31667,6
31.25,-99.03333,6
37.46667,-77.5,6
-26.1,-49.8,4
45.48333,9.51667,2
41.08333,-86.28333,6
-23.38333,150.51667,3
42.3,0.55,2
50.35,10.8,2
44.51667,-83.95,6
52.76667,-2.51667,2
-1.45,29.83333,2
0.26667,36.53333,8
-10.26667,38.76667,8
51.13333,34.5,8
27.43333,82.08333,8
23.08333,91.66667,8
51.53333,14.88333,2
43.73333,1.38333,2
45.3,0.23333,2
35.66667,136.3,8
44.97917,-122.96944,6
46.05,4.63333,2
52.75,11.05,2
25.66667,74.86667,8
33.48472,-117.6625,6
43.66667,13,2
-31.01667,-71.4,4
19.76667,-100.65,6
-29.2,-51.86667,4
24.16667,-99.33333,6
-33.9,-61.7,4
-31.535556,-68.489444,4
-20.81,-49.38056,4
52.55,46.55,8
34.71667,137.78333,8
43.15,-0.85,2
47.21667,29.86667,8
35.86667,139.4,8
49.23333,17.56667,2
53.35,15.05,2
42.86083,-73.95028,6
48.11667,10.46667,2
44.36667,-69.2,6
38.3,27.13333,8
26.75,84.78333,8
-7.23333,107.33333,8
22.83333,4.98333,2
22.25,79,8
41.71667,-0.05,2
39.43833,140.51167,8
21.68389,79.50083,8
41.05,23.56667,2
-8.38333,-36.76667,2
-19.46667,-44.21667,2
37.41667,-6,2
50.61667,36.6,8
34.75,10.71667,2
23.1,87.3,8
37.83333,-76.7,6
44.05,-80.16667,6
24.55,84.83333,8
33.65,120.06667,8
25.85,87.5775,8
43.5,125.66667,8
33.71667,74.83333,8
24.33333,90.16667,8
43.11667,11.6,2
46.16,134.65333,8
20.93333,-101.38333,6
44.11667,27.26667,8
49.98333,7.53333,2
30.9,32.48333,8
26.21667,69.55,8
39.3,9.2,2
42.58333,-103.66667,6
20.91667,82.58333,8
39.82467,36.13583,8
32.43333,119.86667,8
59.73333,10.86667,2
45.68333,15.6,2
55,35,8
27.13333,84.06667,8
43.66667,21.86667,2
47.36667,1.73333,2
54.00883,22.005,2
35.16667,135.33333,8
45.25,125,8
44.41667,23.5,2
1.7,33.63333,8
44.75,0.05,2
46.95,-1.5,2
51.05,3.75,2
48.01667,-1.15,2
38.7,-90.23333,6
-32.01667,27.41667,7
38.16667,-76.38333,6
48.45,3.93333,2
61.65,27.2,8
43.43333,2.95,2
59.93333,14.95,2
49.28333,15.56667,2
45.05,41.98333,8
50.76667,3,2
53.66667,55.98333,8
52.53333,9.05,2
41.2,-73.13333,6
56.58333,-3.25,2
50.38333,-3.95,2
45.96861,-72.97806,6
36.48333,-90.66667,6
50.53806,16.26333,2
31.61667,113.46667,8
12.66667,78.03333,8
25.93333,84.28333,8
44.86667,133.16667,8
26.71667,84.21667,8
38.80389,-120.90806,6
33.18836,-86.2945,6
49.4,14.65,2
36.18333,5.41667,2
59.70444,-134.20139,6
34.72,137.305,8
35.38333,134.9,8
-7.75,112.76667,8
31.16333,-7.015,2
35.43333,136.23333,8
45.4,122.9,8
32.95,10.41667,2
19.38333,43.73333,8
35.13333,44.45,8
46.71667,23.5,2
-25.73333,142.95,3
58.03333,26.95,8
33.4,70.6,8
-1.00278,37.15028,8
-29.33333,27.58333,7
32.94667,118.99,8
49.6,17.11667,2
38.2,-89.68333,6
14.25,1.53333,2
54.5,35.2,8
13.63333,79.41667,8
29.48195,-7.61123,2
-7.08333,111.53333,8
-6.66667,106.58333,8
47.85,34.76667,8
20.16667,-105.21667,6
34.5,133.75,8
38.36667,140.86556,8
24.65,76.86667,8
45.06667,7.66667,2
42.06667,-104.16667,6
43.6,1.4,2
51.73333,102.53333,8
50.78333,4.76667,2
52.21667,13.16667,2
45.46667,10,2
50.91667,9.18333,2
58.47333,8.86667,2
32.16667,-95.1,6
61.3,12.3,2
36.06333,140.145,8
9.66667,105.66667,8
45.46667,105.38333,8
30,90.75,8
45.34583,-92.05167,6
21.66667,-103.36667,6
60,5.61667,2
57.16667,65.53333,8
-19.81667,-48.78333,4
11.05,-69.85,6
41.76667,62.51667,8
7.95,8.08333,2
51.65,5.61667,2
13.48333,74.78333,8
-4.26667,35.35,8
46.93333,7.21667,2
30.33333,76.33333,8
13.46667,31.21667,8
66.13889,124.76667,8
34.8,127,8
34.48333,133.28333,8
49.975,16.375,2
52.11667,5.18333,2
47.11667,7.55,2
-44.11667,-66.15,4
45.41667,11.13333,2
11.98333,79.75,8
44.86667,9.15,2
44.06667,12.1,2
9.31667,-70.62833,6
-20.85001,-41.73356,2
46.15,32.83333,8
56.13333,77.26667,8
35.33333,51.63333,8
48.41667,43.2,8
43.5,-91.16667,6
57.8,45.8,8
44.85,11.4,2
42.8,-4.66667,2
-25.83333,-56.5,4
54.225,-111.69167,6
43.53333,22.63333,2
23.1,87.43333,8
16.83333,80.75,8
25.45,70,8
46.63333,0.16667,2
34.33333,-98.3,6
38.68333,-91.15,6
45.58333,-122.35,6
32.79732,21.78713,2
48.95,17.38333,2
41.266667,-73.266667,6
41.7,-72.65,6
41.71056,-72.67361,6
31.96185,-110.434183,6
-26.59278,120.32833,5
-26,30,2
-28.66667,18.91667,2
-32.5,23,7
9,39,8
54.13667,-0.41333,2
-27.75,115.83333,5
42.38467,-83.6115,6
36.75,114.25,8
35.13333,113.33333,8
44.66667,117.5,8
32.33333,114.31667,8
13.71111,45.17,8
1,22.5,2
21.83333,111.83333,8
24.56667,114.16667,8
38.93333,48.25,8
14.3,79.76667,8
37.75,139,8
41.28333,-73.81667,6
34.16667,131.45,8
28.71667,116.61667,8
47.31667,35.36667,8
50.28333,27.68333,8
55.18333,27.91667,8
27.33333,-9.33333,2
11.73333,7.08333,2
47.5,83,8
33.7,133.8,8
32.3,112.75,8
47.13333,43.9,8
44.4,19.11667,2
49.88333,13.91667,2
55.3,25,8
45.81667,125.91667,8
47.58333,37.25,8
39.66667,122.98333,8
51.83333,26.83333,8
-15.18333,35.28333,2
46.93333,21.5,2
50.2,30.25,8
26.8,-105.41667,6
22.72192,48.95937,8
36.3,-104.28333,6
33.85,-101.8,6
60.43333,22.3,8
27.23944,29.83583,8
27.5,3.61667,2
27.61667,3.85,2
27.81667,4.03333,2
27.58333,3.81667,2
27.6,3.83333,2
27.63333,3.96667,2
27.51667,3.65,2
27.53333,3.7,2
27.73333,4.08333,2
27.75,4.1,2
27.75,4.16667,2
27.8,4.16667,2
27.83333,4.28333,2
27.8,4.46667,2
27.78333,4.28333,2
27.71667,4.48333,2
27.73333,4.4,2
27.7,4.08333,2
27.7,4.06667,2
27.7,4.06667,2
27.55,3.61667,2
27.51667,3.83333,2
27.51667,3.91667,2
27.55,3.93333,2
27.58333,3.96667,2
27.61667,4.05,2
27.66667,4.2,2
27.66667,4.25,2
27.68333,4.33333,2
27.68333,4.41667,2
27.66667,4.35,2
27.65,4.46667,2
27.65,4.43333,2
27.63333,4.35,2
27.6,4.3,2
27.58333,4.25,2
27.55,4.13333,2
27.53333,4,2
27.53333,3.91667,2
27.46667,3.78333,2
27.43333,3.71667,2
27.46667,3.83333,2
27.51667,3.91667,2
27.55,4,2
27.78333,4.7,2
27.83333,4.7,2
27.55,4.08333,2
27.41667,3.71667,2
27.65,4.5,2
27.61667,4.41667,2
27.75,4.15,2
27.73333,4.05,2
27.7,3.93333,2
27.5,3.98333,2
27.46667,3.88333,2
27.38333,3.71667,2
27.51667,4.06667,2
27.56667,4.16667,2
27.6,4.25,2
27.6,4.41667,2
27.61667,4.56667,2
27.61667,4.56667,2
27.5,4.28333,2
27.63333,4.06667,2
27.71667,4.78333,2
27.55,3.7,2
27.53333,3.83333,2
27.68333,4.48333,2
27.63333,4.28333,2
27.63333,4.25,2
27.53333,3.85,2
27.48333,3.83333,2
27.51667,3.73333,2
27.7,4.35,2
27.63333,4.51667,2
27.56667,4.15,2
27.5,3.68333,2
27.63333,4.51667,2
27.53333,3.86667,2
27.5,3.48333,2
27.48333,3.63333,2
27.55,3.86667,2
27.58333,3.95,2
27.66667,4.18333,2
27.7,4.26667,2
27.75,4.43333,2
27.63333,4.3,2
27.5,3.83333,2
27.45,4.11667,2
27.66667,4.51667,2
27.71667,4.13333,2
27.73333,4.43333,2
27.71667,4.38333,2
27.61667,4.2,2
27.51667,3.96667,2
27.46667,3.88333,2
27.45,3.83333,2
27.46667,3.95,2
27.53333,4.16667,2
27.66667,4.46667,2
27.8,4.5,2
27.63333,4.36667,2
27.55,4.13333,2
27.5,3.9,2
27.45,3.75,2
27.5,3.88333,2
27.55,3.76667,2
27.48333,3.8,2
27.48333,3.8,2
27.65,4.03333,2
27.56667,4.03333,2
27.6,3.96667,2
27.73333,4.16667,2
27.73333,4.16667,2
27.73333,4.2,2
27.66667,4.2,2
